시군구코드,시군구명,행정동코드,행정동명,거주자인구수,세대수,세대당인구,남자인구수,여자인구수,남여비율
26110,중구,2611000000,소계,36030,23137,1.56,17440,18590,0.94
26110,중구,2611051000,중앙동,3108,2505,1.24,1452,1656,0.88
26110,중구,2611052000,동광동,2216,1508,1.47,1143,1073,1.07
26110,중구,2611053000,대청동,5430,3391,1.6,2591,2839,0.91
26110,중구,2611054500,보수동,9714,6005,1.62,4565,5149,0.89
26110,중구,2611056000,부평동,3934,2572,1.53,1895,2039,0.93
26110,중구,2611057000,광복동,819,503,1.63,405,414,0.98
26110,중구,2611058000,남포동,722,539,1.34,427,295,1.45
26110,중구,2611059000,영주제1동,4143,2811,1.47,2118,2025,1.05
26110,중구,2611060000,영주제2동,5944,3303,1.8,2844,3100,0.92
26140,서구,2614000000,소계,100743,53037,1.9,48179,52564,0.92
26140,서구,2614051000,동대신제1동,4970,2591,1.92,2391,2579,0.93
26140,서구,2614052000,동대신제2동,6120,3222,1.9,2926,3194,0.92
26140,서구,2614053000,동대신제3동,6882,3765,1.83,3172,3710,0.85
26140,서구,2614054000,서대신제1동,14359,6690,2.15,6751,7608,0.89
26140,서구,2614056000,서대신제3동,7127,3094,2.3,3285,3842,0.86
26140,서구,2614057000,서대신제4동,6777,2906,2.33,3254,3523,0.92
26140,서구,2614059000,부민동,7258,4216,1.72,3405,3853,0.88
26140,서구,2614061500,아미동,5969,3876,1.54,2922,3047,0.96
26140,서구,2614063000,초장동,3416,2209,1.55,1725,1691,1.02
26140,서구,2614064000,충무동,9191,5410,1.7,4401,4790,0.92
26140,서구,2614065000,남부민제1동,4102,2425,1.69,2026,2076,0.98
26140,서구,2614066000,남부민제2동,7146,4176,1.71,3513,3633,0.97
26140,서구,2614068000,암남동,17426,8457,2.06,8408,9018,0.93
26170,동구,2617000000,소계,82869,45978,1.8,40242,42627,0.94
26170,동구,2617051000,초량제1동,4776,3179,1.5,2415,2361,1.02
26170,동구,2617052000,초량제2동,4837,3086,1.57,2397,2440,0.98
26170,동구,2617053000,초량제3동,12973,6658,1.95,6188,6785,0.91
26170,동구,2617055000,초량제6동,4752,2715,1.75,2300,2452,0.94
26170,동구,2617056000,수정제1동,3890,2148,1.81,1915,1975,0.97
26170,동구,2617057000,수정제2동,8504,4673,1.82,4029,4475,0.9
26170,동구,2617059000,수정제4동,3161,1916,1.65,1552,1609,0.96
26170,동구,2617060000,수정제5동,4361,2468,1.77,2082,2279,0.91
26170,동구,2617064500,좌천동,10522,5562,1.89,5032,5490,0.92
26170,동구,2617065000,범일제1동,10078,5862,1.72,4877,5201,0.94
26170,동구,2617066000,범일제2동,6068,3585,1.69,3046,3022,1.01
26170,동구,2617068000,범일제5동,8947,4126,2.17,4409,4538,0.97
26200,영도구,2620000000,소계,100111,52879,1.89,49111,51000,0.96
26200,영도구,2620053000,남항동,9696,5458,1.78,4825,4871,0.99
26200,영도구,2620054000,영선제1동,3494,1765,1.98,1655,1839,0.9
26200,영도구,2620055000,영선제2동,6874,3366,2.04,3329,3545,0.94
26200,영도구,2620058500,신선동,6331,3805,1.66,3117,3214,0.97
26200,영도구,2620059000,봉래제1동,6322,3406,1.86,3106,3216,0.97
26200,영도구,2620060500,봉래제2동,6861,3348,2.05,3334,3527,0.95
26200,영도구,2620063000,청학제1동,5003,2601,1.92,2454,2549,0.96
26200,영도구,2620064000,청학제2동,15391,7443,2.07,7514,7877,0.95
26200,영도구,2620065000,동삼제1동,26846,13633,1.97,13037,13809,0.94
26200,영도구,2620066000,동삼제2동,5255,2875,1.83,2833,2422,1.17
26200,영도구,2620067000,동삼제3동,8038,5179,1.55,3907,4131,0.95
26230,부산진구,2623000000,소계,363144,188252,1.93,173239,189905,0.91
26230,부산진구,2623051000,부전제1동,13748,9755,1.41,6754,6994,0.97
26230,부산진구,2623052000,부전제2동,12296,7577,1.62,6042,6254,0.97
26230,부산진구,2623054000,연지동,25127,10740,2.34,11961,13166,0.91
26230,부산진구,2623055000,초읍동,21300,10249,2.08,10267,11033,0.93
26230,부산진구,2623056000,양정제1동,18694,9501,1.97,8616,10078,0.85
26230,부산진구,2623057000,양정제2동,20907,11732,1.78,9751,11156,0.87
26230,부산진구,2623060000,전포제1동,20247,11928,1.7,9673,10574,0.91
26230,부산진구,2623061000,전포제2동,22758,12899,1.76,10610,12148,0.87
26230,부산진구,2623064000,부암제1동,23809,11021,2.16,11436,12373,0.92
26230,부산진구,2623066000,부암제3동,23634,9867,2.4,11485,12149,0.95
26230,부산진구,2623067000,당감제1동,19834,9761,2.03,9318,10516,0.89
26230,부산진구,2623068000,당감제2동,11410,5298,2.15,5382,6028,0.89
26230,부산진구,2623070000,당감제4동,9652,4840,1.99,4619,5033,0.92
26230,부산진구,2623071000,가야제1동,15791,9089,1.74,7957,7834,1.02
26230,부산진구,2623072000,가야제2동,17497,8080,2.17,8371,9126,0.92
26230,부산진구,2623074000,개금제1동,18142,10055,1.8,8774,9368,0.94
26230,부산진구,2623075000,개금제2동,9474,4750,1.99,4494,4980,0.9
26230,부산진구,2623076000,개금제3동,25207,11974,2.11,11953,13254,0.9
26230,부산진구,2623077000,범천제1동,12237,7776,1.57,5605,6632,0.85
26230,부산진구,2623078000,범천제2동,21380,11360,1.88,10171,11209,0.91
26260,동래구,2626000000,소계,270200,121846,2.22,129840,140360,0.93
26260,동래구,2626051000,수민동,28759,12926,2.22,13810,14949,0.92
26260,동래구,2626052000,복산동,7686,3960,1.94,3715,3971,0.94
26260,동래구,2626054500,명륜동,24899,9537,2.61,12247,12652,0.97
26260,동래구,2626055000,온천제1동,33881,17111,1.98,15883,17998,0.88
26260,동래구,2626056000,온천제2동,23730,9594,2.47,11329,12401,0.91
26260,동래구,2626057000,온천제3동,35313,17325,2.04,17021,18292,0.93
26260,동래구,2626058000,사직제1동,11624,5245,2.22,5550,6074,0.91
26260,동래구,2626059000,사직제2동,24166,8735,2.77,11492,12674,0.91
26260,동래구,2626060000,사직제3동,16342,7547,2.17,8095,8247,0.98
26260,동래구,2626074000,안락제1동,12802,6555,1.95,6227,6575,0.95
26260,동래구,2626075000,안락제2동,25155,10953,2.3,12081,13074,0.92
26260,동래구,2626076100,명장제1동,12816,6026,2.13,6156,6660,0.92
26260,동래구,2626076200,명장제2동,13027,6332,2.06,6234,6793,0.92
26290,남구,2629000000,소계,253413,120985,2.09,122930,130483,0.94
26290,남구,2629051000,대연제1동,14977,9499,1.58,7545,7432,1.02
26290,남구,2629053000,대연제3동,36438,18711,1.95,17758,18680,0.95
26290,남구,2629054000,대연제4동,13476,6208,2.17,6497,6979,0.93
26290,남구,2629055000,대연제5동,15680,8219,1.91,7487,8193,0.91
26290,남구,2629056000,대연제6동,15557,6233,2.5,7448,8109,0.92
26290,남구,2629057000,용호제1동,41490,17107,2.43,19799,21691,0.91
26290,남구,2629058000,용호제2동,18834,7941,2.37,9008,9826,0.92
26290,남구,2629059000,용호제3동,9832,4972,1.98,4673,5159,0.91
26290,남구,2629060000,용호제4동,7406,3674,2.02,3545,3861,0.92
26290,남구,2629061000,용당동,7443,3438,2.16,3785,3658,1.03
26290,남구,2629062000,감만제1동,7330,3405,2.15,3751,3579,1.05
26290,남구,2629063000,감만제2동,5919,3152,1.88,2894,3025,0.96
26290,남구,2629064500,우암동,16991,7917,2.15,8289,8702,0.95
26290,남구,2629068000,문현제1동,10073,4576,2.2,4860,5213,0.93
26290,남구,2629069000,문현제2동,7993,4898,1.63,3940,4053,0.97
26290,남구,2629070000,문현제3동,15710,6918,2.27,7637,8073,0.95
26290,남구,2629071000,문현제4동,8264,4117,2.01,4014,4250,0.94
26320,북구,2632000000,소계,259973,121614,2.14,127228,132745,0.96
26320,북구,2632051000,구포제1동,14367,7800,1.84,7193,7174,1.0
26320,북구,2632052000,구포제2동,22235,11216,1.98,11341,10894,1.04
26320,북구,2632052100,구포제3동,16516,8613,1.92,8492,8024,1.06
26320,북구,2632053000,금곡동,33414,17364,1.92,15975,17439,0.92
26320,북구,2632054100,화명제1동,38453,14277,2.69,18745,19708,0.95
26320,북구,2632054200,화명제2동,16420,7232,2.27,7947,8473,0.94
26320,북구,2632054300,화명제3동,27512,10812,2.54,13340,14172,0.94
26320,북구,2632055000,덕천제1동,13839,7597,1.82,6765,7074,0.96
26320,북구,2632056000,덕천제2동,10483,6353,1.65,5244,5239,1.0
26320,북구,2632056100,덕천제3동,9155,5200,1.76,4469,4686,0.95
26320,북구,2632057100,만덕제1동,15695,6955,2.26,7586,8109,0.94
26320,북구,2632057200,만덕제2동,25198,10957,2.3,12178,13020,0.94
26320,북구,2632057300,만덕제3동,16686,7238,2.31,7953,8733,0.91
26350,해운대구,2635000000,소계,368730,168799,2.18,176265,192465,0.92
26350,해운대구,2635051000,우제1동,23634,11473,2.06,11234,12400,0.91
26350,해운대구,2635052000,우제2동,29427,11853,2.48,13916,15511,0.9
26350,해운대구,2635052500,우제3동,27730,10898,2.54,13059,14671,0.89
26350,해운대구,2635053000,중제1동,27106,12448,2.18,12909,14197,0.91
26350,해운대구,2635054000,중제2동,15052,7280,2.07,7156,7896,0.91
26350,해운대구,2635055100,좌제1동,16799,7715,2.18,7822,8977,0.87
26350,해운대구,2635055200,좌제2동,29662,14148,2.1,13662,16000,0.85
26350,해운대구,2635055300,좌제3동,14753,6332,2.33,6822,7931,0.86
26350,해운대구,2635055400,좌제4동,21448,8557,2.51,10132,11316,0.9
26350,해운대구,2635056000,송정동,8894,4884,1.82,4255,4639,0.92
26350,해운대구,2635057000,반여제1동,34658,13893,2.49,16967,17691,0.96
26350,해운대구,2635058000,반여제2동,10659,6222,1.71,5181,5478,0.95
26350,해운대구,2635059000,반여제3동,6937,4156,1.67,3348,3589,0.93
26350,해운대구,2635059500,반여제4동,14165,5682,2.49,6906,7259,0.95
26350,해운대구,2635061000,반송제1동,11139,6960,1.6,5561,5578,1.0
26350,해운대구,2635062000,반송제2동,19656,11104,1.77,9513,10143,0.94
26350,해운대구,2635065000,재송제1동,35788,14529,2.46,17608,18180,0.97
26350,해운대구,2635066000,재송제2동,21223,10665,1.99,10214,11009,0.93
26380,사하구,2638000000,소계,281189,138388,2.03,139173,142016,0.98
26380,사하구,2638051000,괴정제1동,16219,7872,2.06,7652,8567,0.89
26380,사하구,2638052000,괴정제2동,14205,6760,2.1,6880,7325,0.94
26380,사하구,2638053000,괴정제3동,11082,6201,1.79,5248,5834,0.9
26380,사하구,2638054000,괴정제4동,11670,5007,2.33,5702,5968,0.96
26380,사하구,2638055000,당리동,22941,10773,2.13,11090,11851,0.94
26380,사하구,2638056100,하단제1동,20448,10938,1.87,10205,10243,1.0
26380,사하구,2638056200,하단제2동,25173,14302,1.76,12840,12333,1.04
26380,사하구,2638057100,신평제1동,14591,7582,1.92,7440,7151,1.04
26380,사하구,2638057200,신평제2동,16462,7475,2.2,8168,8294,0.98
26380,사하구,2638058000,장림제1동,13300,6195,2.15,6858,6442,1.06
26380,사하구,2638059000,장림제2동,24300,11512,2.11,12195,12105,1.01
26380,사하구,2638060100,다대제1동,34190,16357,2.09,16960,17230,0.98
26380,사하구,2638060200,다대제2동,24258,11793,2.06,11852,12406,0.96
26380,사하구,2638061000,구평동,12050,5124,2.35,6129,5921,1.04
26380,사하구,2638062000,감천제1동,15579,7547,2.06,7576,8003,0.95
26380,사하구,2638063000,감천제2동,4721,2950,1.6,2378,2343,1.01
26410,금정구,2641000000,소계,204894,104809,1.95,99433,105461,0.94
26410,금정구,2641051000,서제1동,3861,2482,1.56,2026,1835,1.1
26410,금정구,2641052000,서제2동,7489,4249,1.76,3741,3748,1.0
26410,금정구,2641053000,서제3동,9501,5439,1.75,4696,4805,0.98
26410,금정구,2641055500,금사회동동,6555,3827,1.71,3394,3161,1.07
26410,금정구,2641057000,부곡제1동,6799,4016,1.69,3236,3563,0.91
26410,금정구,2641058000,부곡제2동,16406,7834,2.09,7709,8697,0.89
26410,금정구,2641059000,부곡제3동,14263,6780,2.1,6722,7541,0.89
26410,금정구,2641059100,부곡제4동,10940,5722,1.91,5157,5783,0.89
26410,금정구,2641060000,장전제1동,18157,12027,1.51,9566,8591,1.11
26410,금정구,2641061000,장전제2동,26041,11856,2.2,12483,13558,0.92
26410,금정구,2641063500,선두구동,1910,1094,1.75,1009,901,1.12
26410,금정구,2641066500,청룡노포동,8824,4294,2.05,4260,4564,0.93
26410,금정구,2641067000,남산동,25106,13644,1.84,12237,12869,0.95
26410,금정구,2641068000,구서제1동,18172,7971,2.28,8476,9696,0.87
26410,금정구,2641069000,구서제2동,30010,13133,2.29,14295,15715,0.91
26410,금정구,2641070000,금성동,860,441,1.95,426,434,0.98
26440,강서구,2644000000,소계,153262,66445,2.31,79188,74074,1.07
26440,강서구,2644051000,대저1동,5302,3167,1.67,2903,2399,1.21
26440,강서구,2644052000,대저2동,5814,3215,1.81,3255,2559,1.27
26440,강서구,2644053000,강동동,20546,7872,2.61,10408,10138,1.03
26440,강서구,2644053500,명지1동,54323,21801,2.49,27222,27101,1.0
26440,강서구,2644054500,명지2동,29403,10508,2.8,14697,14706,1.0
26440,강서구,2644055000,가락동,1970,1227,1.61,1067,903,1.18
26440,강서구,2644056000,녹산동,16959,9361,1.81,9567,7392,1.29
26440,강서구,2644058000,가덕도동,4007,2524,1.59,2133,1874,1.14
26440,강서구,2644059000,신호동,14938,6770,2.21,7936,7002,1.13
26470,연제구,2647000000,소계,210806,100399,2.1,100242,110564,0.91
26470,연제구,2647061000,거제제1동,27463,11351,2.42,13153,14310,0.92
26470,연제구,2647062000,거제제2동,24940,9071,2.75,11888,13052,0.91
26470,연제구,2647063000,거제제3동,8806,4537,1.94,4051,4755,0.85
26470,연제구,2647064000,거제제4동,9162,4001,2.29,4368,4794,0.91
26470,연제구,2647065000,연산제1동,15200,6859,2.22,7399,7801,0.95
26470,연제구,2647066000,연산제2동,22544,11269,2.0,10538,12006,0.88
26470,연제구,2647067000,연산제3동,9915,4904,2.02,4725,5190,0.91
26470,연제구,2647068000,연산제4동,17305,9600,1.8,8296,9009,0.92
26470,연제구,2647069000,연산제5동,16896,11181,1.51,7997,8899,0.9
26470,연제구,2647070000,연산제6동,14925,7767,1.92,7077,7848,0.9
26470,연제구,2647072000,연산제8동,12630,5837,2.16,6129,6501,0.94
26470,연제구,2647073000,연산제9동,31020,14022,2.21,14621,16399,0.89
26500,수영구,2650000000,소계,167476,87199,1.92,78398,89078,0.88
26500,수영구,2650066000,남천제1동,16314,7585,2.15,7495,8819,0.85
26500,수영구,2650067000,남천제2동,13184,5598,2.36,6111,7073,0.86
26500,수영구,2650073000,수영동,13328,7653,1.74,6340,6988,0.91
26500,수영구,2650074000,망미제1동,24771,11939,2.07,11712,13059,0.9
26500,수영구,2650075000,망미제2동,9411,4715,2.0,4556,4855,0.94
26500,수영구,2650076000,광안제1동,24189,14516,1.67,11155,13034,0.86
26500,수영구,2650077000,광안제2동,17611,9774,1.8,8157,9454,0.86
26500,수영구,2650078000,광안제3동,8849,5952,1.49,4173,4676,0.89
26500,수영구,2650079000,광안제4동,13019,6362,2.05,5846,7173,0.82
26500,수영구,2650080000,민락동,26800,13105,2.05,12853,13947,0.92
26530,사상구,2653000000,소계,191791,98118,1.95,95623,96168,0.99
26530,사상구,2653058000,삼락동,4686,2760,1.7,2418,2268,1.07
26530,사상구,2653059100,모라제1동,24945,12011,2.08,12318,12627,0.98
26530,사상구,2653059300,모라제3동,8461,5973,1.42,3997,4464,0.9
26530,사상구,2653060000,덕포제1동,11375,5482,2.07,5704,5671,1.01
26530,사상구,2653061000,덕포제2동,11461,5531,2.07,5755,5706,1.01
26530,사상구,2653062000,괘법동,24040,14844,1.62,12271,11769,1.04
26530,사상구,2653064500,감전동,11111,6566,1.69,5810,5301,1.1
26530,사상구,2653065000,주례제1동,15891,7027,2.26,7965,7926,1.0
26530,사상구,2653066000,주례제2동,20521,11172,1.84,10224,10297,0.99
26530,사상구,2653066100,주례제3동,11440,5446,2.1,5528,5912,0.94
26530,사상구,2653067000,학장동,24924,11819,2.11,12275,12649,0.97
26530,사상구,2653068000,엄궁동,22936,9487,2.42,11358,11578,0.98
26710,기장군,2671000000,소계,174793,80428,2.17,86633,88160,0.98
26710,기장군,2671025000,기장읍,50485,26113,1.93,24668,25817,0.96
26710,기장군,2671025300,장안읍,8374,4859,1.72,4561,3813,1.2
26710,기장군,2671025600,정관읍,77076,31595,2.44,38214,38862,0.98
26710,기장군,2671025900,일광읍,31779,14110,2.25,15659,16120,0.97
26710,기장군,2671033000,철마면,7079,3751,1.89,3531,3548,1.0
