성별,연령대,직업군,직업군상세,거주지 시군구 코드,근무지 시군구 코드,거주지행정동,근무지행정동,추정가구원수,추정월소득,증빙연소득,추정 연소득,2년전 추정 연소득 금액,2년내 이직후 소득 증감액,총자산평가금액(주택),순자산평가금액(주택),자가거주여부,현 거주지의 아파트여부,현 거주지의 매매가(국토부 실거래가) 또는 공시가격,차량보유(국산/수입),추정 LTV,추정DTI,신용평점,총대출건수,신용대출-총대출약정액,신용대출-총대출잔액,주택담보대출-총대출약정액,주택담보대출-총대출잔액,정책자금대출-총대출약정액,정책자금대출-총대출잔액,총 대출 상환금액 (최근 12개월),최근 12개월 신용카드소비금액,최근 12개월 체크카드소비금액,최근 12개월 일시불이용금액,최근 12개월 할부이용금액,최근 12개월 현금서비스이용금액,대출연체건수,카드연체건수,연체일수,대출연체금액,카드연체금액,Thin Filer 여부,"파산, 개인회생 신청 여부",2년내 현거주지평균실거래가,2년내 현거주지평균전세거래가,2년내 직장명이력건수
1,30,910,4,26440,26260,2644001,2626001,4,2686.0,0.0,32950.0,27731.0,0.0,431318.0,248454.0,0,1,-99999999.0,1,0.0,23.6,940.0,5,19534.0,7785.0,0.0,0.0,0.0,0.0,1174.0,12532.0,3354.0,4622.0,1204.0,998.0,1,0,25,5921.0,228.0,0,0,1.0,1.0,0
2,25,420,4,26350,26320,2635001,2632002,3,3846.0,0.0,41433.0,37192.0,0.0,125017.0,82928.0,0,1,156973.0,1,0.0,0.0,416.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11216.0,865.0,7687.0,2402.0,926.0,0,0,0,0.0,0.0,0,0,138845.0,100805.0,0
1,35,420,1,26230,26440,2623003,2644001,3,2724.0,0.0,30590.0,27862.0,0.0,159420.0,139613.0,0,1,160249.0,0,0.0,0.0,751.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9958.0,1230.0,5509.0,2589.0,2361.0,0,0,0,0.0,0.0,0,0,157271.0,101361.0,0
1,35,910,3,26170,26260,2617002,2626001,1,3218.0,0.0,0.0,35398.0,0.0,270746.0,144647.0,0,0,494664.0,0,0.0,0.0,668.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,35,6333.0,768.0,0,1,501098.0,280193.0,0
2,25,220,3,26320,26320,2632001,2632001,3,4329.0,0.0,50311.0,52452.0,0.0,142725.0,119203.0,0,0,-99999999.0,0,0.0,0.0,682.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12347.0,6056.0,4688.0,3987.0,3935.0,0,0,0,0.0,0.0,0,0,1.0,1.0,0
2,50,110,2,26410,26320,2641001,2632002,2,3063.0,0.0,38026.0,38616.0,0.0,177182.0,96595.0,1,0,120441.0,1,0.0,12.9,499.0,3,10873.0,4908.0,0.0,0.0,0.0,0.0,636.0,16475.0,2017.0,6469.0,1159.0,1064.0,0,0,0,0.0,0.0,0,0,115294.0,66589.0,0
2,30,420,1,26230,26410,2623001,2641002,4,2303.0,0.0,27207.0,25493.0,1590.0,101986.0,51281.0,1,0,137551.0,0,15.0,91.4,0.0,3,4793.0,3605.0,27506.0,21256.0,0.0,0.0,3709.0,5674.0,2559.0,3169.0,1977.0,1415.0,2,0,37,1388.0,294.0,1,0,156804.0,96978.0,2
2,20,910,1,26260,26260,2626003,2626001,3,2392.0,0.0,28111.0,27999.0,-2100.0,153313.0,67452.0,1,1,147969.0,0,47.0,248.0,0.0,3,0.0,0.0,80418.0,69708.0,0.0,0.0,9562.0,5085.0,3671.0,3474.0,1109.0,693.0,0,0,0,0.0,0.0,1,0,137213.0,81526.0,2
2,25,110,4,26350,26440,2635001,2644001,1,2800.0,0.0,30958.0,25869.0,2770.0,96713.0,75079.0,0,1,125875.0,2,0.0,0.0,560.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12785.0,4250.0,8273.0,1458.0,1101.0,0,0,0,0.0,0.0,0,0,122529.0,83908.0,1
2,50,910,5,26440,26380,2644002,2638001,4,2389.0,0.0,29533.0,28288.0,0.0,97526.0,61090.0,1,1,90995.0,2,55.0,170.7,641.0,2,0.0,0.0,82222.0,50409.0,0.0,0.0,4815.0,5994.0,3819.0,4151.0,1438.0,629.0,0,0,0,0.0,0.0,0,0,87331.0,53803.0,0
2,55,110,3,26410,26260,2641002,2626001,1,2437.0,0.0,27887.0,25669.0,-275.0,106067.0,87371.0,0,1,90236.0,0,0.0,13.8,479.0,0,5202.0,3845.0,0.0,0.0,0.0,0.0,732.0,3841.0,2380.0,1647.0,958.0,1304.0,0,0,0,0.0,0.0,0,0,92113.0,54118.0,1
1,30,910,5,26320,26260,2632002,2626001,2,3440.0,40096.0,37957.0,46312.0,0.0,77801.0,36797.0,1,1,115766.0,0,0.0,3.2,599.0,1,2820.0,1202.0,0.0,0.0,0.0,0.0,115.0,5876.0,1463.0,2674.0,303.0,877.0,0,0,0,0.0,0.0,0,0,127064.0,84095.0,0
2,60,420,5,26410,26260,2641002,2626003,1,3467.0,0.0,43252.0,36921.0,0.0,133603.0,97776.0,0,1,92773.0,1,0.0,1.9,775.0,1,2611.0,823.0,0.0,0.0,0.0,0.0,130.0,9732.0,2819.0,5827.0,2930.0,1014.0,0,0,0,0.0,0.0,0,0,104237.0,64947.0,0
1,50,910,4,26230,26350,2623001,2635001,4,1730.0,20334.0,19629.0,20819.0,0.0,133400.0,54313.0,0,0,165004.0,0,0.0,24.7,778.0,1,6030.0,2707.0,0.0,0.0,2552.0,2133.0,619.0,7998.0,1247.0,3200.0,571.0,662.0,0,0,0,0.0,0.0,0,0,160325.0,80866.0,0
